subject_id,predicate,predicateCN,object_id,weight
CDUT:PLACE:00026,part_of,隶属,CDUT:ORG:00001,3
CDUT:PLACE:00027,part_of,隶属,CDUT:ORG:00001,3
CDUT:PLACE:00028,part_of,隶属,CDUT:ORG:00001,3
CDUT:PLACE:00029,part_of,隶属,CDUT:ORG:00001,3
CDUT:PLACE:00030,part_of,隶属,CDUT:ORG:00001,3
CDUT:EVENT:00001,leads_to,导致,CDUT:EVENT:00002,2
CDUT:EVENT:00002,leads_to,导致,CDUT:EVENT:00006,2
CDUT:EVENT:00006,leads_to,导致,CDUT:EVENT:00007,2
CDUT:EVENT:00007,leads_to,导致,CDUT:EVENT:00008,2
CDUT:EVENT:00008,leads_to,导致,CDUT:EVENT:00009,2
CDUT:EVENT:00009,leads_to,导致,CDUT:EVENT:00010,2
CDUT:EVENT:00003,related_to,相关,CDUT:EVENT:00001,2
CDUT:EVENT:00004,related_to,相关,CDUT:EVENT:00001,2
CDUT:EVENT:00005,related_to,相关,CDUT:EVENT:00001,2
CDUT:EVENT:00011,celebrates,庆祝,CDUT:EVENT:00001,2
CDUT:EVENT:00012,celebrates,庆祝,CDUT:EVENT:00001,2
CDUT:EVENT:00023,celebrates,庆祝,CDUT:EVENT:00001,2
CDUT:EVENT:00013,related_to,相关,CDUT:PLACE:00003,2
CDUT:EVENT:00014,related_to,相关,CDUT:EVENT:00001,2
CDUT:EVENT:00015,related_to,相关,CDUT:EVENT:00001,2
CDUT:EVENT:00016,related_to,相关,CDUT:RU:00001,2
CDUT:EVENT:00017,related_to,相关,CDUT:PROJ:00001,2
CDUT:EVENT:00018,related_to,相关,CDUT:ORG:00020,2
CDUT:EVENT:00019,related_to,相关,CDUT:RU:00001,2
CDUT:EVENT:00020,related_to,相关,CDUT:ORG:00001,2
CDUT:EVENT:00021,related_to,相关,CDUT:ORG:00001,2
CDUT:EVENT:00022,related_to,相关,CDUT:PLACE:00003,2
CDUT:EVENT:00024,related_to,相关,CDUT:EVENT:00023,2
CDUT:EVENT:00025,related_to,相关,CDUT:PLACE:00004,2
CDUT:EVENT:00026,related_to,相关,CDUT:PLACE:00004,2
CDUT:EVENT:00027,related_to,相关,CDUT:PLACE:00017,2
CDUT:EVENT:00028,related_to,相关,CDUT:PLACE:00030,2
CDUT:EVENT:00029,related_to,相关,CDUT:PLACE:00004,2
CDUT:EVENT:00030,related_to,相关,CDUT:ORG:00001,2
CDUT:PUB:00001,published_by,出版,CDUT:ORG:00001,3
CDUT:PUB:00002,published_by,出版,CDUT:ORG:00001,3
CDUT:PUB:00003,published_by,出版,CDUT:ORG:00001,2
CDUT:PUB:00004,published_by,出版,CDUT:ORG:00001,2
CDUT:PUB:00005,published_by,出版,CDUT:ORG:00001,2
CDUT:PUB:00006,published_by,出版,CDUT:PLACE:00004,2
CDUT:PUB:00007,published_by,出版,CDUT:PLACE:00003,2
CDUT:PUB:00008,published_by,出版,CDUT:ORG:00001,2
CDUT:COLL:00001,housed_in,收藏于,CDUT:PLACE:00024,3
CDUT:COLL:00002,housed_in,收藏于,CDUT:PLACE:00024,3
CDUT:COLL:00003,housed_in,收藏于,CDUT:PLACE:00003,3
CDUT:COLL:00004,housed_in,收藏于,CDUT:PLACE:00005,3
CDUT:COLL:00005,housed_in,收藏于,CDUT:PLACE:00005,3
CDUT:COLL:00006,housed_in,收藏于,CDUT:PLACE:00005,3
CDUT:COLL:00007,housed_in,收藏于,CDUT:PLACE:00005,3
CDUT:COLL:00008,housed_in,收藏于,CDUT:PLACE:00017,3
CDUT:COLL:00009,housed_in,收藏于,CDUT:PLACE:00005,3
CDUT:COLL:00010,housed_in,收藏于,CDUT:PLACE:00005,3
CDUT:COLL:00011,housed_in,收藏于,CDUT:PLACE:00005,3
CDUT:COLL:00012,housed_in,收藏于,CDUT:PLACE:00005,3
CDUT:PROJ:00001,cooperates_with,合作,University of Edinburgh,3
CDUT:PROJ:00002,cooperates_with,合作,Oxford Brookes University,3
CDUT:PROJ:00003,led_by,负责人,CDUT:PERSON:00041,2
CDUT:PROJ:00004,led_by,负责人,CDUT:PERSON:00020,2
CDUT:PROJ:00005,awarded,获奖,CDUT:AWARD:00003,2
CDUT:PROJ:00006,cooperates_with,合作,CDUT:PERSON:00043,2
CDUT:PROJ:00007,cooperates_with,合作,CDUT:ORG:00001,2
CDUT:PROJ:00008,signed_by,签署,CDUT:ORG:00001,2
CDUT:PROJ:00009,led_by,负责人,CDUT:PLACE:00003,2
CDUT:PROJ:00010,hosted_by,主办,CDUT:ORG:00001,2
CDUT:AWARD:00001,awarded_to,授予,CDUT:ORG:00001,3
CDUT:AWARD:00002,awarded_to,授予,CDUT:PERSON:00001,3
CDUT:AWARD:00003,awarded_to,授予,CDUT:ORG:00001,2
CDUT:AWARD:00004,awarded_to,授予,CDUT:ORG:00001,2
CDUT:AWARD:00005,awarded_to,授予,CDUT:PERSON:00033,2
CDUT:AWARD:00006,awarded_to,授予,CDUT:PERSON:00006,2
CDUT:AWARD:00007,awarded_to,授予,CDUT:RU:00001,2
CDUT:AWARD:00008,awarded_to,授予,CDUT:PROJ:00001,2
CDUT:AWARD:00009,awarded_to,授予,CDUT:ORG:00001,2
CDUT:AWARD:00010,awarded_to,授予,CDUT:ORG:00001,2
